Owner,Category,Qty,Vintage ,Winery ,Wine (Name),Varietal(s),Country ,State ,Region ,Appelation,Sub App,Vineyard/Cru,Retail Price ,Volume (mL),Drinking Window,Box #,Notes,Drank,Pulled 1,Double Check,Pull 1 To Drink,Ready to Drink
R,Red,1,2016,Silverado Vineyards,Solo,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,Stags Leap District,,$125.00,750,Medium,M2,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Keenan Winery,Cabernet Franc,Cabernet Franc,USA,CA,Northern CA,Napa Valley,Spring Mountain District,,$120.00,1500,Long,MA1,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,2,2016,Andrew Will Winery,Sorella,Bordeaux Blend - Left Bank,USA,WA,Columbia Valley,Horse Heaven Hills,Horse Heaven Hills,Champoux Vineyard ,$110.00,750,Medium,Andrew Will OWC,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2014,Giuseppe Quintarelli,Valpolliciella Supioriore,Other,Italy,,Veneto,,,,121,750,Medium,,,TRUE,FALSE,FALSE,FALSE,FALSE
R+M,Red,1,2017,Pride Mountain Vineyards,Reserve Claret,Bordeaux Blend - Left Bank,USA,CA,Northern CA,Napa Valley,,,170,750,Medium,M4,,TRUE,TRUE,TRUE,TRUE,FALSE
R,Red,1,2016,Andrew Will Winery,Sorella,Bordeaux Blend - Left Bank,USA,WA,Columbia Valley,Horse Heaven Hills,Horse Heaven Hills,Champoux Vineyard ,$110.00,750,Medium,MA1,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Hall Wines,Ellie's,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,-,,80,750,Medium,M1,,TRUE,FALSE,FALSE,FALSE,FALSE
R,Red,2,2016,Chateau Potelle,Terrior Collection Cab Sauv,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,St. Helena,,150,750,Medium,M4,,TRUE,FALSE,FALSE,TRUE,FALSE
R,Red,1,2016,Saxum,Bone Rock,Syrah,USA,CA,Central Coast,Paso Robles,,Bone Rock Vineyard,$110.00,750,Medium,L1,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2015,Hall Wines,1873,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,85,750,Medium,M3,,TRUE,TRUE,FALSE,FALSE,FALSE
R,Sparkling,1,2016,Goldeneye Winery,Brut Rosé,Other,USA,CA,Northern CA,,,,65,750,Now,Krug,,TRUE,TRUE,FALSE,FALSE,FALSE
R,Red,2,2016,Silverado Vineyards,Geo,Bordeaux Blend - Left Bank,USA,CA,Northern CA,Napa Valley,Coombsville,Mt. George Vinyeard,100,750,Medium,M2,,TRUE,TRUE,FALSE,TRUE,TRUE
R,Red,1,2017,Chateau Potelle,GSC,Rhone Blend,USA,CA,Northern CA,Sonoma County,Fountaingrove District,,95,750,Medium,M7,,TRUE,TRUE,TRUE,TRUE,FALSE
